 "subjectArea" , "catalog" , "studentId" , "nbTimesTaken" ,
 "MECH" , "490A" , "44812274" , "2" ,
 "EDUC" , "492" , "43720948" , "2" ,
 "COMS" , "493" , "43944333" , "2" ,
 "INTE" , "493" , "43948970" , "2" ,
 "ANTH" , "494" , "43875426" , "2" ,
 "LBCL" , "494" , "44812274" , "2" ,
 "MARK" , "495" , "45032514" , "2" ,
 "FMAN" , "498" , "44812274" , "2" ,
 "MECH" , "498" , "45381481" , "2" ,
 "JAZZ" , "498" , "49182836" , "2" ,
 "SPAN" , "498" , "49632949" , "2" ,
 "THEO" , "498F" , "49026273" , "2" ,
 "IDYS" , "499" , "46449046" , "2" ,
 "DART" , "500" , "49632949" , "2" ,
 "ECON" , "503" , "47192857" , "2" ,
 "JOUR" , "505" , "44812274" , "2" ,
 "COMS" , "506" , "42932159" , "2" ,
 "TRES" , "511" , "46645624" , "2" ,
 "COMS" , "512" , "43948970" , "2" ,
 "COMS" , "512" , "46205840" , "2" ,
 "TRES" , "515" , "43875426" , "2" ,
 "FTRA" , "516" , "44094527" , "2" ,
 "JOUR" , "520" , "47470325" , "2" ,
 "JOUR" , "523" , "49632949" , "2" ,
 "JOUR" , "526" , "45945613" , "2" ,
 "COMS" , "569" , "43875426" , "2" ,
 "BIOL" , "574" , "42932159" , "2" ,
 "GDBA" , "590" , "46449046" , "2" ,
 "CPTP" , "598" , "49237110" , "2" ,
 "GPCB" , "600" , "43875426" , "2" ,
 "RELI" , "6007" , "48116564" , "2" ,
 "SOEN" , "6011" , "44812274" , "2" ,
 "ESTU" , "602" , "47937174" , "2" ,
 "ACCO" , "603" , "43903621" , "2" ,
 "SPEC" , "604" , "42932159" , "2" ,
 "ENGL" , "604" , "45078711" , "2" ,
 "BIOL" , "606" , "48770750" , "2" ,
 "ARTE" , "607" , "46449046" , "2" ,
 "SPEC" , "608" , "47470325" , "2" ,
 "CIVI" , "6101" , "46148764" , "2" ,
 "GIIM" , "613" , "43903621" , "2" ,
 "MATH" , "613" , "46145102" , "2" ,
 "SPEC" , "613" , "47192857" , "2" ,
 "PHOT" , "613" , "49985480" , "2" ,
 "ETEC" , "616" , "43948970" , "2" ,
 "GEOG" , "620" , "46449046" , "2" ,
 "CHEM" , "620" , "49632949" , "2" ,
 "RELI" , "621" , "44198269" , "2" ,
 "MSCA" , "621" , "47470325" , "2" ,
 "MTHY" , "624" , "46449046" , "2" ,
 "INDI" , "625" , "42932159" , "2" ,
 "ENGL" , "625" , "44643410" , "2" ,
 "INDU" , "6310" , "49632949" , "2" ,
 "BIOL" , "632" , "43903621" , "2" ,
 "DART" , "634" , "49182836" , "2" ,
 "SPEC" , "635" , "42932159" , "2" ,
 "POLI" , "635" , "43720948" , "2" ,
 "ARTH" , "635" , "48423402" , "2" ,
 "INDI" , "635F" , "49182836" , "2" ,
 "PHYS" , "636" , "49182836" , "2" ,
 "ECON" , "642" , "40283659" , "2" ,
 "EMBA" , "643" , "43720948" , "2" ,
 "ARTH" , "643" , "45032514" , "2" ,
 "ARTH" , "643" , "47058695" , "2" ,
 "INDI" , "643" , "49026273" , "2" ,
 "ELEC" , "6431" , "44812274" , "2" ,
 "SOEN" , "6431" , "44812274" , "2" ,
 "DTHY" , "644" , "43948970" , "2" ,
 "EMBA" , "645" , "47192857" , "2" ,
 "MBA" , "646" , "49261511" , "2" ,
 "FMST" , "650" , "47192857" , "2" ,
 "ETEC" , "650" , "49237110" , "2" ,
 "THEO" , "653" , "43948970" , "2" ,
 "SOCI" , "653" , "48116564" , "2" ,
 "ACCO" , "656" , "44812274" , "2" ,
 "BLDG" , "6611" , "49021689" , "2" ,
 "FINA" , "664" , "47192857" , "2" ,
 "ENVS" , "664" , "49237110" , "2" ,
 "FINA" , "664" , "49595198" , "2" ,
 "HENV" , "665" , "43720948" , "2" ,
 "ARTE" , "665" , "49221734" , "2" ,
 "ELEC" , "6651" , "49026273" , "2" ,
 "RELI" , "666" , "43720948" , "2" ,
 "CIVI" , "6681" , "49026273" , "2" ,
 "MSCA" , "669" , "43903621" , "2" ,
 "ETEC" , "669" , "49182836" , "2" ,
 "ENGL" , "669" , "49237110" , "2" ,
 "ARTE" , "670" , "43720948" , "2" ,
 "ARTE" , "670" , "49724829" , "2" ,
 "MAST" , "674" , "43875426" , "2" ,
 "BLDG" , "6751" , "46488415" , "2" ,
 "CHEM" , "677" , "43662055" , "2" ,
 "DESC" , "677" , "44812274" , "2" ,
 "ECON" , "682" , "48116564" , "2" ,
 "SPAN" , "682" , "49182836" , "2" ,
 "FTRA" , "683" , "47470325" , "2" ,
 "MSCM" , "684" , "43720948" , "2" ,
 "RELI" , "685" , "42932159" , "2" ,
 "BLDG" , "6851" , "44985754" , "2" ,
 "GPCB" , "687" , "48116564" , "2" ,
 "SOEN" , "691" , "46449046" , "2" ,
 "FLIT" , "691" , "49026273" , "2" ,
 "SPAN" , "694" , "46449046" , "2" ,
 "DESC" , "695" , "49237110" , "2" ,
 "MECH" , "6971" , "47470325" , "2" ,
 "INDI" , "698A" , "44812274" , "2" ,
 "MSCA" , "699" , "40222011" , "2" ,
 "EMBA" , "699" , "43875426" , "2" ,
 "PSYC" , "707A" , "47750346" , "2" ,
 "ETEC" , "715" , "46449046" , "2" ,
 "MATH" , "729" , "43948970" , "2" ,
 "GPTK" , "769" , "49182836" , "2" ,
 "ELEC" , "790" , "47470325" , "2" ,
 "ENGL" , "800" , "44812274" , "2" ,
 "HUMA" , "802" , "49632949" , "2" ,
 "POLI" , "803" , "46448003" , "2" ,
 "SPEC" , "806" , "40079321" , "2" ,
 "SPEC" , "811" , "43948970" , "2" ,
 "RELI" , "811" , "46754305" , "2" ,
 "INDI" , "825" , "49237110" , "2" ,
 "INDI" , "825F" , "49237110" , "2" ,
 "ADMI" , "831" , "48116564" , "2" ,
 "ADMI" , "831" , "48742510" , "2" ,
 "HUMA" , "834" , "48116564" , "2" ,
 "HUMA" , "839" , "42143793" , "2" ,
 "RELI" , "839" , "48116564" , "2" ,
 "HIST" , "849" , "43875426" , "2" ,
 "ADMI" , "852" , "43720948" , "2" ,
 "ARTE" , "870" , "40264990" , "2" ,
 "HIST" , "877" , "49848118" , "2" ,
 "HUMA" , "887" , "46406742" , "2" ,
 "COMS" , "889" , "47192857" , "2" ,
 "SPEC" , "890" , "43875426" , "2" ,
 "COMP" , "890" , "46449046" , "2" ,
 "RELI" , "891" , "43720948" , "2" ,
 "HUMA" , "891" , "43903621" , "2" ,
 "COMS" , "895A" , "45327743" , "2" ,
 "GPWL" , "901" , "46449046" , "2" ,
 "GPWL" , "918" , "45583933" , "2" ,
