 "subject" , "catalog" , "count" ,
 "ADMI" , "201" , "6" ,
 "ADMI" , "202" , "2" ,
 "ADMI" , "543" , "2" ,
 "ADMI" , "800" , "4" ,
 "ADMI" , "810" , "4" ,
 "ADMI" , "811" , "3" ,
 "ADMI" , "812" , "4" ,
 "ADMI" , "813" , "2" ,
 "ADMI" , "814" , "2" ,
 "ADMI" , "815" , "9" ,
 "ADMI" , "820" , "4" ,
 "ADMI" , "821" , "10" ,
 "ADMI" , "822" , "6" ,
 "ADMI" , "830" , "2" ,
 "ADMI" , "831" , "4" ,
 "ADMI" , "831R" , "5" ,
 "ADMI" , "832" , "5" ,
 "ADMI" , "840" , "3" ,
 "ADMI" , "841" , "5" ,
 "ADMI" , "850" , "6" ,
 "ADMI" , "851" , "5" ,
 "ADMI" , "852" , "4" ,
 "ADMI" , "853" , "8" ,
 "ADMI" , "855" , "5" ,
 "ADMI" , "856" , "6" ,
 "ADMI" , "858" , "5" ,
 "ADMI" , "860" , "1" ,
 "ADMI" , "861" , "6" ,
 "ADMI" , "870" , "4" ,
 "ADMI" , "880" , "2" ,
 "ADMI" , "889" , "5" ,
 "ADMI" , "890" , "6" ,
 "AERO" , "201" , "12" ,
 "AERO" , "290" , "6" ,
 "AERO" , "371" , "14" ,
 "AERO" , "390" , "5" ,
 "AERO" , "417" , "2" ,
 "AERO" , "431" , "2" ,
 "AERO" , "446" , "6" ,
 "AERO" , "455" , "7" ,
 "AERO" , "462" , "9" ,
 "AERO" , "464" , "5" ,
 "AERO" , "465" , "7" ,
 "AERO" , "471" , "5" ,
 "AERO" , "472" , "7" ,
 "AERO" , "480" , "12" ,
 "AERO" , "481" , "9" ,
 "AERO" , "482" , "9" ,
 "AERO" , "483" , "3" ,
 "AERO" , "485" , "10" ,
 "AERO" , "486" , "8" ,
 "AERO" , "487" , "5" ,
 "AERO" , "490" , "2" ,
 "AHSC" , "215" , "7" ,
 "AHSC" , "220" , "2" ,
 "AHSC" , "225" , "4" ,
 "AHSC" , "230" , "4" ,
 "AHSC" , "232" , "6" ,
 "AHSC" , "241" , "5" ,
 "AHSC" , "242" , "3" ,
 "AHSC" , "260" , "5" ,
 "AHSC" , "270" , "5" ,
 "AHSC" , "281" , "5" ,
 "AHSC" , "285" , "1" ,
 "AHSC" , "298" , "1" ,
 "AHSC" , "310" , "5" ,
 "AHSC" , "311" , "5" ,
 "AHSC" , "312" , "6" ,
 "AHSC" , "313" , "7" ,
 "AHSC" , "314" , "4" ,
 "AHSC" , "315" , "4" ,
 "AHSC" , "316" , "4" ,
 "AHSC" , "319" , "1" ,
 "AHSC" , "320" , "4" ,
 "AHSC" , "322" , "7" ,
 "AHSC" , "323" , "4" ,
 "AHSC" , "330" , "9" ,
 "AHSC" , "332" , "4" ,
 "AHSC" , "333" , "4" ,
 "AHSC" , "335" , "1" ,
 "AHSC" , "343" , "1" ,
 "AHSC" , "350" , "5" ,
 "AHSC" , "355" , "2" ,
 "AHSC" , "360" , "1" ,
 "AHSC" , "361" , "10" ,
 "AHSC" , "370" , "3" ,
 "AHSC" , "371" , "6" ,
 "AHSC" , "380" , "1" ,
 "AHSC" , "381" , "14" ,
 "AHSC" , "382" , "2" ,
 "AHSC" , "383" , "13" ,
 "AHSC" , "384" , "8" ,
 "AHSC" , "385" , "6" ,
 "AHSC" , "398" , "1" ,
 "AHSC" , "399" , "6" ,
 "AHSC" , "400" , "5" ,
 "AHSC" , "403" , "5" ,
 "AHSC" , "411" , "4" ,
 "AHSC" , "415" , "6" ,
 "AHSC" , "422" , "4" ,
 "AHSC" , "423" , "6" ,
 "AHSC" , "425" , "8" ,
 "AHSC" , "427" , "5" ,
 "AHSC" , "431" , "4" ,
 "AHSC" , "432" , "9" ,
 "AHSC" , "435" , "2" ,
 "AHSC" , "436" , "11" ,
 "AHSC" , "437" , "6" ,
 "AHSC" , "438" , "2" ,
 "AHSC" , "439" , "4" ,
 "AHSC" , "442" , "5" ,
 "AHSC" , "443" , "1" ,
 "AHSC" , "444" , "4" ,
 "AHSC" , "445" , "9" ,
 "AHSC" , "450" , "5" ,
 "AHSC" , "451" , "1" ,
 "AHSC" , "456" , "3" ,
 "AHSC" , "460" , "3" ,
 "AHSC" , "465" , "4" ,
 "AHSC" , "470" , "7" ,
 "AHSC" , "475" , "15" ,
 "AHSC" , "490" , "2" ,
 "AHSC" , "491" , "4" ,
 "AHSC" , "498" , "4" ,
 "AHSC" , "499" , "1" ,
 "AHSC" , "510" , "7" ,
 "AHSC" , "512" , "7" ,
 "AHSC" , "513" , "6" ,
 "AHSC" , "514" , "3" ,
 "AHSC" , "520" , "2" ,
 "AHSC" , "522" , "4" ,
 "AHSC" , "525" , "5" ,
 "AHSC" , "527" , "8" ,
 "AHSC" , "530" , "2" ,
 "AHSC" , "533" , "6" ,
 "AHSC" , "535" , "3" ,
 "AHSC" , "536" , "3" ,
 "AHSC" , "537" , "7" ,
 "AHSC" , "538" , "3" ,
 "AHSC" , "540" , "5" ,
 "AHSC" , "551" , "3" ,
 "AHSC" , "560" , "2" ,
 "AHSC" , "565" , "5" ,
 "AHSC" , "598" , "5" ,
 "AHSC" , "599" , "4" ,
 "AHSC" , "610" , "7" ,
 "AHSC" , "620" , "4" ,
 "AHSC" , "631" , "6" ,
 "AHSC" , "632" , "9" ,
 "AHSC" , "660" , "6" ,
 "AHSC" , "670" , "6" ,
 "AHSC" , "675" , "7" ,
 "AHSC" , "680" , "4" ,
 "AHSC" , "681" , "5" ,
 "AHSC" , "682" , "6" ,
 "AHSC" , "685" , "4" ,
 "AHSC" , "695" , "2" ,
 "AHSC" , "696" , "4" ,
 "AHSC" , "698" , "2" ,
 "AMBA" , "695" , "5" ,
 "AMPS" , "517" , "4" ,
 "AMPS" , "518" , "6" ,
 "AMPS" , "598" , "7" ,
 "AMPS" , "599" , "3" ,
 "ANDR" , "400" , "8" ,
 "ANDR" , "500" , "5" ,
 "ANTH" , "202" , "29" ,
 "ANTH" , "203" , "12" ,
 "ANTH" , "204" , "3" ,
 "ANTH" , "212" , "7" ,
 "ANTH" , "221" , "5" ,
 "ANTH" , "230" , "11" ,
 "ANTH" , "231" , "6" ,
 "ANTH" , "252" , "14" ,
 "ANTH" , "255" , "3" ,
 "ANTH" , "270" , "13" ,
 "ANTH" , "272" , "7" ,
 "ANTH" , "276" , "13" ,
 "ANTH" , "277" , "8" ,
 "ANTH" , "285" , "19" ,
 "ANTH" , "298" , "6" ,
 "ANTH" , "301" , "8" ,
 "ANTH" , "302" , "2" ,
 "ANTH" , "303" , "4" ,
 "ANTH" , "307" , "3" ,
 "ANTH" , "311" , "8" ,
 "ANTH" , "312" , "2" ,
 "ANTH" , "315" , "3" ,
 "ANTH" , "319" , "8" ,
 "ANTH" , "322" , "12" ,
 "ANTH" , "324" , "9" ,
 "ANTH" , "325" , "6" ,
 "ANTH" , "326" , "7" ,
 "ANTH" , "332" , "7" ,
 "ANTH" , "343" , "4" ,
 "ANTH" , "345" , "6" ,
 "ANTH" , "349" , "22" ,
 "ANTH" , "353" , "11" ,
 "ANTH" , "355" , "7" ,
 "ANTH" , "361" , "6" ,
 "ANTH" , "363" , "11" ,
 "ANTH" , "375" , "8" ,
 "ANTH" , "377" , "2" ,
 "ANTH" , "378" , "8" ,
 "ANTH" , "379" , "13" ,
 "ANTH" , "380" , "9" ,
 "ANTH" , "381" , "16" ,
 "ANTH" , "384" , "20" ,
 "ANTH" , "385" , "6" ,
 "ANTH" , "394" , "3" ,
 "ANTH" , "395" , "4" ,
 "ANTH" , "397" , "3" ,
 "ANTH" , "398" , "2" ,
 "ANTH" , "399" , "4" ,
 "ANTH" , "423" , "8" ,
 "ANTH" , "424" , "5" ,
 "ANTH" , "425" , "4" ,
 "ANTH" , "427" , "4" ,
 "ANTH" , "430" , "5" ,
 "ANTH" , "431" , "2" ,
 "ANTH" , "432" , "8" ,
 "ANTH" , "433" , "7" ,
 "ANTH" , "440" , "4" ,
 "ANTH" , "441" , "9" ,
 "ANTH" , "444" , "3" ,
 "ANTH" , "449" , "12" ,
 "ANTH" , "450" , "7" ,
 "ANTH" , "462" , "7" ,
 "ANTH" , "463" , "1" ,
 "ANTH" , "464" , "7" ,
 "ANTH" , "471" , "10" ,
 "ANTH" , "472" , "24" ,
 "ANTH" , "474" , "10" ,
 "ANTH" , "475" , "10" ,
 "ANTH" , "479" , "6" ,
 "ANTH" , "483" , "7" ,
 "ANTH" , "484" , "6" ,
 "ANTH" , "494" , "2" ,
 "ANTH" , "495" , "1" ,
 "ANTH" , "498" , "4" ,
 "ANTH" , "499" , "4" ,
 "ANTH" , "600" , "5" ,
 "ANTH" , "601" , "1" ,
 "ANTH" , "610" , "6" ,
 "ANTH" , "620" , "6" ,
 "ANTH" , "630" , "5" ,
 "ANTH" , "640" , "3" ,
 "ANTH" , "641" , "4" ,
 "ANTH" , "660" , "20" ,
 "ANTH" , "690" , "5" ,
 "ANTH" , "691" , "10" ,
 "ANTH" , "692" , "8" ,
 "ANTH" , "693" , "6" ,
 "ANTH" , "694" , "4" ,
 "ANTH" , "695" , "4" ,
 "ANTZ" , "202" , "29" ,
 "APLI" , "601" , "6" ,
 "APLI" , "604" , "4" ,
 "APLI" , "610" , "4" ,
 "APLI" , "616" , "6" ,
 "APLI" , "621" , "10" ,
 "APLI" , "623" , "8" ,
 "APLI" , "624" , "1" ,
 "APLI" , "625" , "3" ,
 "APLI" , "626" , "2" ,
 "APLI" , "627" , "5" ,
 "APLI" , "630" , "4" ,
 "APLI" , "634" , "3" ,
 "APLI" , "635" , "4" ,
 "APLI" , "636" , "4" ,
 "APLI" , "638" , "5" ,
 "APLI" , "641" , "4" ,
 "APLI" , "643" , "7" ,
 "APLI" , "644" , "5" ,
 "APLI" , "646" , "5" ,
 "APLI" , "647" , "3" ,
 "APLI" , "651" , "2" ,
 "APLI" , "652" , "5" ,
 "APLI" , "653" , "2" ,
 "APLI" , "654" , "7" ,
 "APLI" , "655" , "2" ,
 "APLI" , "656" , "7" ,
 "APLI" , "660" , "6" ,
 "APLI" , "671" , "9" ,
 "APLI" , "672" , "7" ,
 "APLI" , "673" , "4" ,
 "APLI" , "674" , "5" ,
 "APLI" , "675" , "5" ,
 "APLI" , "690" , "2" ,
 "APLI" , "691" , "3" ,
 "APLI" , "691B" , "4" ,
 "APLI" , "696" , "5" ,
 "APLI" , "696B" , "6" ,
 "APLI" , "696C" , "5" ,
 "APSS" , "298" , "5" ,
 "APSS" , "399" , "5" ,
 "APSS" , "487" , "5" ,
 "APSS" , "498" , "6" ,
 "APSS" , "499" , "6" ,
 "APSS" , "681" , "4" ,
 "APSS" , "682" , "2" ,
 "APSS" , "696" , "6" ,
 "ART" , "420" , "4" ,
 "ART" , "448" , "6" ,
 "ART" , "449" , "6" ,
 "ART" , "480" , "5" ,
 "ART" , "485" , "3" ,
 "ART" , "486" , "2" ,
 "ARTE" , "201" , "7" ,
 "ARTE" , "220" , "2" ,
 "ARTE" , "230" , "1" ,
 "ARTE" , "302" , "5" ,
 "ARTE" , "303" , "8" ,
 "ARTE" , "320" , "6" ,
 "ARTE" , "330" , "10" ,
 "ARTE" , "340" , "6" ,
 "ARTE" , "352" , "5" ,
 "ARTE" , "354" , "10" ,
 "ARTE" , "398" , "6" ,
 "ARTE" , "401" , "2" ,
 "ARTE" , "402" , "3" ,
 "ARTE" , "420" , "4" ,
 "ARTE" , "421" , "3" ,
 "ARTE" , "422" , "9" ,
 "ARTE" , "423" , "4" ,
 "ARTE" , "424" , "1" ,
 "ARTE" , "425" , "3" ,
 "ARTE" , "432" , "4" ,
 "ARTE" , "434" , "4" ,
 "ARTE" , "498" , "3" ,
 "ARTE" , "606" , "7" ,
 "ARTE" , "607" , "7" ,
 "ARTE" , "608" , "8" ,
 "ARTE" , "609" , "13" ,
 "ARTE" , "610" , "9" ,
 "ARTE" , "611" , "16" ,
 "ARTE" , "660" , "7" ,
 "ARTE" , "664" , "2" ,
 "ARTE" , "665" , "5" ,
 "ARTE" , "670" , "1" ,
 "ARTE" , "672" , "3" ,
 "ARTE" , "680" , "3" ,
 "ARTE" , "682" , "7" ,
 "ARTE" , "698" , "4" ,
 "ARTE" , "698A" , "2" ,
 "ARTE" , "806" , "9" ,
 "ARTE" , "807" , "9" ,
 "ARTE" , "850" , "3" ,
 "ARTE" , "867" , "8" ,
 "ARTE" , "868" , "5" ,
 "ARTE" , "870" , "5" ,
 "ARTE" , "872" , "5" ,
 "ARTE" , "880" , "4" ,
 "ARTE" , "882" , "3" ,
 "ARTE" , "884" , "6" ,
 "ARTE" , "890" , "4" ,
 "ARTE" , "890A" , "4" ,
 "ARTH" , "200" , "9" ,
 "ARTH" , "262" , "3" ,
 "ARTH" , "263" , "11" ,
 "ARTH" , "264" , "2" ,
 "ARTH" , "266" , "8" ,
 "ARTH" , "267" , "5" ,
 "ARTH" , "270" , "2" ,
 "ARTH" , "271" , "6" ,
 "ARTH" , "272" , "7" ,
 "ARTH" , "283" , "6" ,
 "ARTH" , "290" , "11" ,
 "ARTH" , "298" , "4" ,
 "ARTH" , "300" , "12" ,
 "ARTH" , "348" , "3" ,
 "ARTH" , "349" , "5" ,
 "ARTH" , "350" , "8" ,
 "ARTH" , "351" , "3" ,
 "ARTH" , "352" , "3" ,
 "ARTH" , "353" , "5" ,
 "ARTH" , "354" , "2" ,
 "ARTH" , "355" , "6" ,
 "ARTH" , "356" , "4" ,
 "ARTH" , "357" , "6" ,
 "ARTH" , "358" , "7" ,
 "ARTH" , "359" , "6" ,
 "ARTH" , "360" , "1" ,
 "ARTH" , "361" , "2" ,
 "ARTH" , "362" , "7" ,
 "ARTH" , "363" , "5" ,
 "ARTH" , "364" , "3" ,
 "ARTH" , "365" , "5" ,
 "ARTH" , "366" , "4" ,
 "ARTH" , "367" , "3" ,
 "ARTH" , "368" , "6" ,
 "ARTH" , "369" , "3" ,
 "ARTH" , "370" , "3" ,
 "ARTH" , "371" , "3" ,
 "ARTH" , "373" , "4" ,
 "ARTH" , "374" , "6" ,
 "ARTH" , "375" , "5" ,
 "ARTH" , "376" , "8" ,
 "ARTH" , "379" , "3" ,
 "ARTH" , "380" , "1" ,
 "ARTH" , "381" , "1" ,
 "ARTH" , "383" , "5" ,
 "ARTH" , "384" , "5" ,
 "ARTH" , "385" , "2" ,
 "ARTH" , "386" , "3" ,
 "ARTH" , "387" , "4" ,
 "ARTH" , "388" , "3" ,
 "ARTH" , "389" , "3" ,
 "ARTH" , "390" , "6" ,
 "ARTH" , "391" , "8" ,
 "ARTH" , "392" , "7" ,
 "ARTH" , "394" , "10" ,
 "ARTH" , "395" , "5" ,
 "ARTH" , "396" , "4" ,
 "ARTH" , "398" , "7" ,
 "ARTH" , "401" , "6" ,
 "ARTH" , "403" , "3" ,
 "ARTH" , "415" , "9" ,
 "ARTH" , "448" , "4" ,
 "ARTH" , "450" , "2" ,
 "ARTH" , "471" , "3" ,
 "ARTH" , "472" , "6" ,
 "ARTH" , "498" , "3" ,
 "ARTH" , "610" , "7" ,
 "ARTH" , "611" , "7" ,
 "ARTH" , "612" , "3" ,
 "ARTH" , "613" , "8" ,
 "ARTH" , "614" , "7" ,
 "ARTH" , "615" , "6" ,
 "ARTH" , "626" , "6" ,
 "ARTH" , "627" , "7" ,
 "ARTH" , "632" , "3" ,
 "ARTH" , "633" , "8" ,
 "ARTH" , "634" , "6" ,
 "ARTH" , "635" , "3" ,
 "ARTH" , "636" , "3" ,
 "ARTH" , "638" , "5" ,
 "ARTH" , "639" , "7" ,
 "ARTH" , "640" , "4" ,
 "ARTH" , "641" , "3" ,
 "ARTH" , "642" , "1" ,
 "ARTH" , "643" , "3" ,
 "ARTH" , "644" , "7" ,
 "ARTH" , "645" , "5" ,
 "ARTH" , "647" , "1" ,
 "ARTH" , "648" , "2" ,
 "ARTH" , "649" , "2" ,
 "ARTH" , "650" , "3" ,
 "ARTH" , "654" , "5" ,
 "ARTH" , "655" , "3" ,
 "ARTH" , "656" , "1" ,
 "ARTH" , "656A" , "5" ,
 "ARTH" , "656B" , "4" ,
 "ARTH" , "662" , "2" ,
 "ARTH" , "800" , "8" ,
 "ARTH" , "801" , "3" ,
 "ARTH" , "802" , "4" ,
 "ARTH" , "803" , "9" ,
 "ARTH" , "804" , "6" ,
 "ARTH" , "805" , "4" ,
 "ARTH" , "806" , "9" ,
 "ARTH" , "807" , "5" ,
 "ARTH" , "808" , "7" ,
 "ARTH" , "809" , "8" ,
 "ARTH" , "810" , "1" ,
 "ARTH" , "820" , "7" ,
 "ARTH" , "830" , "4" ,
 "ARTT" , "398" , "3" ,
 "ARTT" , "399" , "8" ,
 "ARTT" , "470" , "5" ,
 "ARTT" , "471" , "9" ,
 "ARTT" , "472" , "2" ,
 "ARTX" , "280" , "5" ,
 "ARTX" , "380" , "1" ,
 "ARTX" , "398" , "5" ,
 "ARTX" , "399" , "3" ,
 "ARTX" , "480" , "6" ,
 "ARTX" , "490" , "4" ,
 "ARTX" , "491" , "7" ,
 "ARTX" , "492" , "4" ,
 "ASEM" , "620" , "2" ,
 "ASEM" , "642" , "7" ,
 "ASEM" , "644" , "3" ,
 "ASEM" , "645" , "3" ,
 "ASEM" , "646" , "4" ,
 "ASEM" , "652" , "6" ,
 "ASEM" , "654" , "2" ,
 "ATRP" , "301" , "4" ,
 "ATRP" , "600" , "4" ,
 "ATRP" , "602" , "4" ,
 "ATRP" , "603" , "4" ,
 "ATRP" , "604" , "7" ,
 "ATRP" , "613" , "7" ,
 "ATRP" , "614" , "5" ,
 "ATRP" , "615" , "4" ,
 "ATRP" , "620" , "2" ,
 "ATRP" , "623" , "3" ,
 "ATRP" , "624" , "8" ,
 "ATRP" , "630" , "7" ,
 "ATRP" , "693" , "5" ,
 "BCEE" , "231" , "13" ,
 "BCEE" , "342" , "15" ,
 "BCEE" , "343" , "5" ,
 "BCEE" , "344" , "9" ,
 "BCEE" , "345" , "5" ,
 "BCEE" , "371" , "14" ,
 "BCEE" , "451" , "6" ,
 "BCEE" , "452" , "1" ,
 "BCEE" , "455" , "8" ,
 "BCEE" , "464" , "6" ,
 "BCEE" , "465" , "9" ,
 "BCEE" , "466" , "7" ,
 "BCEE" , "478" , "3" ,
 "BCEE" , "491" , "4" ,
 "BCEE" , "492" , "9" ,
 "BCEE" , "493" , "8" ,
 "BCEE" , "6961" , "3" ,
 "BIOL" , "200" , "4" ,
 "BIOL" , "201" , "10" ,
 "BIOL" , "202" , "5" ,
 "BIOL" , "203" , "3" ,
 "BIOL" , "205" , "7" ,
 "BIOL" , "206" , "9" ,
 "BIOL" , "225" , "3" ,
 "BIOL" , "226" , "6" ,
 "BIOL" , "227" , "15" ,
 "BIOL" , "261" , "12" ,
 "BIOL" , "266" , "7" ,
 "BIOL" , "298" , "4" ,
 "BIOL" , "321" , "8" ,
 "BIOL" , "322" , "4" ,
 "BIOL" , "330" , "14" ,
 "BIOL" , "337" , "8" ,
 "BIOL" , "340" , "10" ,
 "BIOL" , "350" , "8" ,
 "BIOL" , "351" , "11" ,
 "BIOL" , "353" , "7" ,
 "BIOL" , "354" , "9" ,
 "BIOL" , "364" , "3" ,
 "BIOL" , "366" , "6" ,
 "BIOL" , "367" , "6" ,
 "BIOL" , "368" , "9" ,
 "BIOL" , "371" , "4" ,
 "BIOL" , "380" , "6" ,
 "BIOL" , "382" , "16" ,
 "BIOL" , "398" , "7" ,
 "BIOL" , "421" , "7" ,
 "BIOL" , "422" , "4" ,
 "BIOL" , "423" , "6" ,
 "BIOL" , "435" , "5" ,
 "BIOL" , "438" , "5" ,
 "BIOL" , "439" , "4" ,
 "BIOL" , "443" , "5" ,
 "BIOL" , "450" , "4" ,
 "BIOL" , "451" , "3" ,
 "BIOL" , "452" , "7" ,
 "BIOL" , "457" , "8" ,
 "BIOL" , "458" , "4" ,
 "BIOL" , "459" , "4" ,
 "BIOL" , "461" , "6" ,
 "BIOL" , "462" , "2" ,
 "BIOL" , "466" , "10" ,
 "BIOL" , "467" , "3" ,
 "BIOL" , "468" , "7" ,
 "BIOL" , "469" , "4" ,
 "BIOL" , "472" , "5" ,
 "BIOL" , "473" , "10" ,
 "BIOL" , "474" , "5" ,
 "BIOL" , "475" , "2" ,
 "BIOL" , "476" , "9" ,
 "BIOL" , "480" , "14" ,
 "BIOL" , "481" , "1" ,
 "BIOL" , "482" , "6" ,
 "BIOL" , "484" , "6" ,
 "BIOL" , "485" , "8" ,
 "BIOL" , "486" , "6" ,
 "BIOL" , "490" , "3" ,
 "BIOL" , "498" , "16" ,
 "BIOL" , "498R" , "6" ,
 "BIOL" , "510" , "7" ,
 "BIOL" , "511" , "6" ,
 "BIOL" , "512" , "3" ,
 "BIOL" , "515" , "6" ,
 "BIOL" , "516" , "4" ,
 "BIOL" , "521" , "3" ,
 "BIOL" , "523" , "7" ,
 "BIOL" , "524" , "2" ,
 "BIOL" , "525" , "13" ,
 "BIOL" , "572" , "9" ,
 "BIOL" , "573" , "7" ,
 "BIOL" , "574" , "6" ,
 "BIOL" , "601" , "5" ,
 "BIOL" , "602" , "2" ,
 "BIOL" , "602O" , "5" ,
 "BIOL" , "606" , "6" ,
 "BIOL" , "607" , "3" ,
 "BIOL" , "608" , "5" ,
 "BIOL" , "611" , "2" ,
 "BIOL" , "612" , "4" ,
 "BIOL" , "613" , "1" ,
 "BIOL" , "614" , "4" ,
 "BIOL" , "615" , "6" ,
 "BIOL" , "616" , "3" ,
 "BIOL" , "620P" , "4" ,
 "BIOL" , "622" , "6" ,
 "BIOL" , "623" , "9" ,
 "BIOL" , "625" , "4" ,
 "BIOL" , "630" , "13" ,
 "BIOL" , "631" , "8" ,
 "BIOL" , "631D" , "2" ,
 "BIOL" , "632" , "5" ,
 "BIOL" , "633" , "4" ,
 "BIOL" , "634" , "6" ,
 "BIOL" , "635" , "4" ,
 "BIOL" , "670" , "4" ,
 "BIOL" , "680" , "13" ,
 "BIOL" , "681" , "6" ,
 "BIOL" , "683" , "6" ,
 "BIOL" , "684" , "5" ,
 "BIOL" , "685" , "5" ,
 "BIOL" , "687" , "1" ,
 "BIOL" , "689" , "6" ,
 "BIOL" , "690" , "5" ,
 "BIOL" , "696" , "8" ,
 "BIOL" , "801" , "3" ,
 "BIOL" , "802" , "3" ,
 "BIOL" , "821" , "4" ,
